c_name,c_type,contact,googlemap
พิพิธภัณฑ์บ้านบางเขน,พิพิธภัณฑ์,เลขที่ 104/58 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 โทร. 08 5921 6666 ,https://maps.app.goo.gl/WL3ZqTU7ZsS9jL2L7
พิพิธภัณฑ์การฝึกหัดครูไทย,พิพิธภัณฑ์,"สำนักศิลปะและวัฒนธรรม มหาวิทยาลัยราชภัฏพระนคร เลขที่ 9 ถนนแจ้งวัฒนะ แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร โทร. 0 2544 8000 ต่อ 1512, 3128, 0 2522 660",https://maps.app.goo.gl/6vNyLt7bRWdizF8YA
Dog Park วัชรพล สวนวชิราภิรมย์,สถานที่พักผ่อนหย่อนใจ,"BMA Dog Park สวนวชิราภิรมย์ แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220	 โทร. 0 2222 2222	",https://maps.app.goo.gl/BtZZgJuK4XyjmYAm9
เพลินนารี่ มอลล์ วัชรพล,ช้อปปิ้งมอลล์,ถนนวัชรพล แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 โทร. 0 2136 8121,https://maps.app.goo.gl/Jb8iSBvT4iNHck9L7
พิพิธภัณฑ์ท้องถิ่นกรุงเทพเขตบางเขน,พิพิธภัณฑ์,"อาคาร 18 มหาวิทยาลัยราชภัฏพระนคร ถนนแจ้งวัฒนะ แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 โทร. 0 2521 3267, 0 2225 2777 ต่อ 427",https://maps.app.goo.gl/59Lj2wJtDoKDryfV6
ตลาดต้นไม้ กองพันทหารราบ 11,ตลาดต้นไม้,กรมทหารราบที่ 11 รักษาพระองค์ ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 โทร. 08 7995 3227,https://maps.app.goo.gl/VDcxinbK3kNfcNTq6
ตลาดนัดทุ่งทองหนองกง,ตลาดนัด,ริมคลองบึงพระยาสุเรนทร์ ชุมชนเกษตรก้าวหน้าลำรางหนองกง ซอยกาญจนาภิเษก 6 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 โทร. 0 2986 0751,https://maps.app.goo.gl/e4Pmfzk8gTr2NZKv5
ศูนย์เรียนรู้ดูทุ่งบางเขน,ศูนย์เรียนรู้ด้านการเกษตร,"ริมคลองบึงพระยาสุเรนทร์ ชุมชนเกษตรก้าวหน้าลำรางหนองกง ซอยกาญจนาภิเษก 6 (เข้าซอยประมาณ 800 เมตร) แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10200 โทร. 0 2972 9960, 0 2521 0666 ต่อ 5885-5886 หรือติดต่อเพื่อเข้าชมหรือทำกิจกรรมได้ที่ ฝ่ายพัฒนาชุมชน เขตบางเขน โทร. 0 2986 0751",https://maps.app.goo.gl/dYp1r2V9qTzWeWoY7
วัดพระศรีมหาธาตุวรมหาวิหาร,วัด,เลขที่ 149 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 โทร. 0 2986 0832,https://maps.app.goo.gl/2ET1RpEhhjA9QZbG8
วัดบางบัว,วัด,เลขที่ 50 ซอยพหลโยธิน 46 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ 10220 โทร. 0 2940 1287 ,https://maps.app.goo.gl/TpqoasMZ9AVfkoX89
เสถียรธรรมสถาน,สถานปฏิบัติธรรม,"เลขที่ 23 ถนนวัชรพล รามอินทรา 55 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230 โทร. 0 2519 1119, 0 2510 6697, 09 1831 2294",https://maps.app.goo.gl/wd5RqK5KhH8Wg6Xf9
ตลาดยิ่งเจริญ,ตลาดสด,เลขที่ 651 ถนนพหลโยธิน แขวงอนุสาวรีย เขตบางเขน กรุงเทพมหานคร 10220 โทร. 0 2972 3405 - 7,https://maps.app.goo.gl/MzhA6An8y92Q9No18
The 9 Resort,ห้องพักรายวัน-รายเดือน,เลขที่ 2/2 ซอยรามอินทรา 34 แยก 12 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230 โทร. 08 2342 2222,https://maps.app.goo.gl/czyCQUMsnFmu9jSr7
ร้านระกาแฟ,ร้านกาแฟ,เลขที่ 48 ซอย 8/37 ถนนรามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 โทร. 08 8869 8987,https://maps.app.goo.gl/UoAwzx8rw4SGjRsR8
สวนอาหารบางบัว,ร้านอาหาร,เลขที่ 213/1 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 โทร. 0 2552 6088,https://maps.app.goo.gl/9e4fC3mrt7d7CZDC7
