c_name,c_type,contact,googlemap
วัดบางกระดี่,วัด,41 หมู่ 8 ถนนบางกระดี่ แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 0 2896 9979,https://goo.gl/maps/JTGdbEYstq7DKymH7
วัดกก,วัด,"ถนนพระราม 2 ซอย 44 แยก 5 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 0 2415 1392, 09 4416 6075, 06 2545 6236   ",https://goo.gl/maps/1FPuhqcyKfeDQHBD6
ทะเลบางขุนเทียน ,แหล่งธรรมชาติ,ถนนบางขุนเทียน - ชายทะเล เขตบางขุนเทียน กรุงเทพฯ 10150,https://goo.gl/maps/2ZkrTerfSnxz749K6
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตบางขุนเทียน,พิพิธภัณฑ์,54/2 หมู่ 10 โรงเรียนคลองพิทยาลงกรณ์ แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 09 5141 5381 (คุณฮาร์เลย์)  ,https://goo.gl/maps/dX767fjLbL8n92vt6
ศูนย์ศิลปวัฒนธรรมมอญบางกระดี่,พิพิธภัณฑ์,หมู่ 9 ถนนพระราม2 แขวงแสมดำ เขตบางขุนเทียน  กรุงเทพฯ 10150 โทร. 08 1383 7266,https://goo.gl/maps/7RNbxMaAmnhqVGzE7
ศาลเจ้าแม่งูจงอางและลูก,ศาล,9 พระราม 2 ซอย 46 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150,https://goo.gl/maps/hoB6a5VZcvYVFREy5
วัดหัวกระบือ ,วัด,77 ซอยเทียนทะเล 19 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 0 2897 2445,https://goo.gl/maps/J1mXzgjD5v5kAJri7
พิพิธภัณฑ์ว่าวไทย,พิพิธภัณฑ์,"โรงเรียนทวีธาภิเศก 2 เลขที่ 91/128 หมู่ 8 ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 0 2849 3310, 09 9103 4283",https://goo.gl/maps/ViXCqNVtwjVgNpoZA
ชุมชนแสนตอ,ชุมชนท่องเที่ยว,"115/7 หมู่ที่ 9 คลองแสนตอ แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 08 7071 7242 (ลุงสอน), 09 6040 9370 (บริษัท Local Alike)",https://goo.gl/maps/3FNb7qFCEWLjmTpo7
สวนส้มบางมด ผู้ใหญ่ชาติ เที่ยงธรรม,สวนส้ม/แหล่งเกษตรกรรม,ซอยอนามัยงามเจริญ 33 แยก 1 - 3 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 06 2652 4559 (ผู้สนใจเยี่ยมชมกรุณาโทรศัพท์นัดหมายผู้ใหญ่ชาติล่วงหน้า),https://goo.gl/maps/WjKyHDW8zEWzRHXa8
สะพานรักษ์ทะเลบางขุนเทียน,เส้นทางศึกษา-เที่ยวชมธรรมชาติ/เส้นทางจักรยาน,ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 ,https://goo.gl/maps/71zadK6hBSCxrYKbA
ครัวทับทิมซีฟู้ด,ร้านอาหาร,"712/2 ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 0 2004 9225, 08 7589 0811, 09 0982 7750, 08 1376 4173",https://goo.gl/maps/C3DVRj7vZKxe21D67
ธารทะเลซีฟู้ด,ร้านอาหาร,1025/3 ถนนบางขุนเทียน-ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 06 2819 9333,https://goo.gl/maps/VwCcTDqT1d4KyXWH7
BANGKOK SEAVIEW SEAFOOD,ร้านอาหาร,"275 ถนนชายทะเล - บางขุนเทียน แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 0 2408 4008, 08 9894 3595",https://goo.gl/maps/tJeYgG6acXu6XjZu5
ดอกไม้ ประตู แจกัน,คาเฟ่/ร้านอาหาร/ร้านกาแฟ,17/2 ถนนพระรามสอง ซอย 51 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150 โทร. 08 1847 1026,https://goo.gl/maps/T8H7MTwGwd2xBheJ8
