c_name,c_type,contact,googlemap
ไร่เหมือนจันทร์,แหล่งท่องเที่ยวเชิงเกษตร,166/1 ถนนเลียบคลองทวีวัฒนา แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160 โทร 08 1168 6565,https://maps.app.goo.gl/8Hi6TJaJNE5CE9Wf9
วัดม่วง บางแค,วัด,"ซอยเพชรเกษม 63 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160 โทร 0 2413 4901, 09 6446 9491",https://maps.app.goo.gl/yxc3kX8AGVaYQ4oH9
ศาลเจ้าแม่ทับทิมหลักสอง (บางแค),ศาลเจ้า,"498 ถนนกาญจนาภิเษก แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160	 โทร. 0 2803 6360	",https://maps.app.goo.gl/9Ato8sdvqS6hczdp6
ตลาดบางแค,ตลาด,"17 ซอยเพชรเกษม 39/1 แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160	 โทร. 0 2867 1635 ",https://maps.app.goo.gl/ZKUYHfSEa5MMoRpSA
วัดราษฏร์บำรุง,วัด,10 ซอยเพชรเกษม 69 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2421 1371,https://maps.app.goo.gl/16wm17QJ32M4Uuo69
วัดพรหมสุวรรณสามัคคี,วัด,8 หมู่4 หมู่บ้านเศรษฐกิจ ซอย12 แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2421 7169,https://maps.app.goo.gl/QKLbuQ8WJxpMqkK17
ห้างสรรพสินค้าเดอะมอลล์บางแค,ห้างสรรพสินค้า,518 ถนนเพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2487 1000,https://maps.app.goo.gl/CGZphNs9d1nTmBTY6
สวนเพชรกาญจนารมย์,สวนสาธารณะ,แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2867 1635,https://maps.app.goo.gl/gWspTjTkRW8c8WbV8
สวนบางแคภิรมย์,สวนสาธารณะ,ซอยบ้านคลองขวาง แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2867 1635 ,https://maps.app.goo.gl/VqFQhjLgrVtgintF7
สวนสาธารณะกัลปพฤกษ์,สวนสาธารณะ,ถนนกัลปพฤกษ์ แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160 โทร. 09 9632 0013,https://maps.app.goo.gl/8eW3gLzxVBUdNpDo9
The Explace Mall,ห้างสรรพสินค้า,60/1 ถ. กาญจนาภิเษก แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2413 1555,https://maps.app.goo.gl/5ZxTNacvpFHhv5nx6
วัดศาลาแดง,วัด,134 หมู่ 6 ถนนบางแวก แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160 โทร. 0 2421 1375,https://maps.app.goo.gl/rVs7TspPz3E53XZU6
วัดบุณยประดิษฐ์,วัด,"9 พุทธมณฑล สาย 2 ซอย 7 แขวงบางไผ่ เขตบางแคกรุงเทพมหานคร 10160 โทร. 0 2413 3042, 0 2454 7029",https://maps.app.goo.gl/rcgKQ1Vg1SfEj4N7A
พิพิธภัณฑ์เทพศรียันตราเทวาลัย,พิพิธภัณฑ์,1483 ถนนกาญจนาภิเษก แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160 โทร. 09 6654 6159,https://maps.app.goo.gl/Qou7JSRSWvA8XLaF6
