c_name,c_type,contact,googlemap
วัดบางนาใน,ศาสนสถาน,"3322 ถนนสรรพาวุธ 1 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร 08 9487 2443, 0 2393 2684",https://maps.app.goo.gl/PoidsTUW8SKnwKGg8
วัดบางนานอก,ศาสนสถาน,18 ถนนสรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร.0 2173 4982,https://maps.app.goo.gl/pXATTqgXfKxrUVZe8
วัดศรีเอี่ยม,ศาสนสถาน,"111 ถนนบางนา - ตราด แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2398 4759 , 08 1869 4383",https://maps.app.goo.gl/jvmShSC1tDtq9Th56
ศูนย์นิทรรศการและการประชุมไบเทค,ศูนย์นิทรรศการและการประชุม,"88 ถนนเทพารัตน กม.1 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2726 1999, 0 2749 3939 , 0 2361 1916",https://maps.app.goo.gl/yUkGbzwpSWmwQ6EK8
พิพิธภัณฑ์ การเรียนรู้อุตุนิยมวิทยา,พิพิธภัณฑ์,4353 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2366 9301 ต่อ 6101 - 6102,https://maps.app.goo.gl/6X4dVWynFQWHy1LN6
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตบางนา,พิพิธภัณฑ์,ภายในวัดบางนาใน ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2398 3758,https://maps.app.goo.gl/bZ4tXpMCLsLxwZ3w9
สวนน้ำ Pororo Aquapark BKK,สวนน้ำ,ชั้น 6 ศูนย์การค้าเซ็นทรัลบางนา ถนนบางนา - ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2745 7377,https://maps.app.goo.gl/EQ84KsLQcREmCq9i7
ลิตเติ้ลวอล์ค บางนา,ศูนย์การค้า,"769/1-3 ถนนบางนา - ตราด 42 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2898 6420, 06 1825 9293, 08 1752 7089",https://maps.app.goo.gl/GT5AHHLcnUhGLTZGA
ตลาดนัด AD Bearing Market,ตลาดนัด,591 ถนนแบริ่ง - ลาซาล แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 08 3839 8998,https://maps.app.goo.gl/9FZ13maGPQ3JmtWL7
เซ็นทรัลพลาซา บางนา,ศูนย์การค้า,585 ศูนย์การค้าเซ็นทรัลพลาซาบางนา ถนนบางนา – ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร.0 2725 5000,https://maps.app.goo.gl/4FUJApvYkhj7cDB7A
สนามกอล์ฟราชนาวี บางนา,สนามกีฬา,4355 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร.0 2393 1652,https://maps.app.goo.gl/Gv5btWu9MqpdvART8
สนามไดร์ฟกอล์ฟ วันโอวัน,สนามกีฬา,22 ถนนสุขุมวิท 70/3 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร.09 2948 4650,https://maps.app.goo.gl/TzyuanLv5fvAsBUB9
วัดผ่องพลอยวิริยาราม,ศาสนสถาน,"229 ซอยลาซาล 46 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร.09 2186 1515, 0 2748 6832",https://maps.app.goo.gl/xFQdfAWptiExTmSeA
สวนบางนาภิรมย์,สวนสาธารณะ,ถนนสรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร.0 2173 5253,https://maps.app.goo.gl/9LpDfohDZKfLJcgv5
สระว่ายน้ำภูติอนันต์ 2,สนามกีฬา,134 - 163 กรมอุทกศาสตร์ทหารเรือ ถนนทางรถไฟสายเก่าปากน้ำ แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260 โทร. 0 2475 2024  ,https://maps.app.goo.gl/ErxkttbvqGN84yLV7
