c_name,c_type,contact,googlemap
วัดสร้อยทอง,ศาสนสถาน,"1319 ถนนประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800**ใกล้สะพานพระราม 7** โทร 02-585-3335, 02-587-1881    โทรสาร :  02-912-6637",https://maps.app.goo.gl/PoQiRrKLcAXbo1o36
วัดทองสุทธาราม (วัดทอง),ศาสนสถาน,"279 ซอยกรุงเทพ-นนทบุรี 56 ถนนกรุงเทพ-นนทบุรี แขวงวงศ์สว่าง เขตบางซื่อ  กรุงเทพมหานคร 10800 โทร. 065-503-7175,  02-587-5079, 02-912-1583",https://maps.app.goo.gl/iPXnHipJnmRx9oYr8
วัดประชาศรัทธาธรรม (วัดเสาหิน),ศาสนสถาน,"98  ถนนวงศ์สว่าง  แขวงบางซื่อ  เขตบางซื่อ กรุงเทพมหานคร  10800 **เชิงสะพานพระราม 7  ฝั่งกรุงเทพฯ** โทร. 02-585-1678, 02-587-8605",https://maps.app.goo.gl/eahYFrZ8UDySR4aY8
วัดเลียบราษฎร์บำรุง,ศาสนสถาน,"1451  ซอยกรุงเทพ-นนทบุรี 43 (ซอยจงสุข)  ถนนกรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. 02-585-7077, 090-983-4746",https://maps.app.goo.gl/ZDpgedvBwKpUhvzJ6
วัดมัชฌันติการาม (วัดน้อย),ศาสนสถาน,"102  ซอยวงศ์สว่าง 11 ถนนวงศ์สว่าง  แขวงวงศ์สว่าง  เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. 02-587-6750, 094-004-6876, 086-542-3319",https://maps.app.goo.gl/aSdh5bTDPQYwcG1o7
วัดบางโพโอมาวาส,ศาสนสถาน,"90 ถนนประชาราษฏร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. 089-514-7889,  090-924-1819, 062-410-8602",https://maps.app.goo.gl/J6ghsCqJp8qfR7Rn9
วัดอนัมนิกายาราม วัดญวนบางโพ กว๋างเพื้อกตื่อ,ศาสนสถาน,27 ถนนประชาราษฎร์ สาย1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร.02- 912-7470,https://maps.app.goo.gl/SuNJMLeB3kxJQcJ88
วัดประดู่ธรรมาธิปัตย์,ศาสนสถาน,"102 ประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. 02-585-4752, 086-024-8995",https://maps.app.goo.gl/NsBnL5YnMHY4xTad8
วัดเวตวันธรรมวาส  (วัดเชิงหวาย),ศาสนสถาน,"17  หมู่  4  ซอยกรุงเทพ–นนทบุรี 21  ถนนกรุงเทพ – นนทบุรี  แขวงบางซื่อ  เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. 02-911-5246,  02-585-0158,  089-510-6009",https://maps.app.goo.gl/LPg9anPzEnic2uPN9
ถนนสายไม้ บางโพ ชุมชนประชานฤมิตร,ย่านการค้า,"ซอยประชานฤมิตร ถนนประชาราษฏร์ 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร.082-959-7710, 08-2021-9880",https://maps.app.goo.gl/DqyRXPJWmtovq4ga8
บ้านเปรมใจ – ศูนย์ซ่อม – สร้างเครื่องดนตรีไทย,โรงเรียน ,7 หมู่ 14 ซอยประชาชื่น 37 (สุดซอย 6) ถนนประชาชื่น แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร.02-587-8969,https://maps.app.goo.gl/dhbEVMSiJz6MhYqp8
พิพิธภัณฑ์บ้านนักเขียน ส.บุญเสนอ,พิพิธภัณฑ์,สมาคมนักเขียนแห่งประเทศไทย 31 ซอยกรุงเทพ-นนทบุรี 33 (ซอยเทวรัตน์) แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. 02-910-9565       โทรสาร :   02-910-9565,https://maps.app.goo.gl/ov6DYXtSUcYfDeM5A
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตบางซื่อ,พิพิธภัณฑ์,"ชั้น 2  โรงเรียนปริยัติธรรมวัดสร้อยทอง  1319  ถนนประชาราษฎร์สาย 1  แขวงบางซื่อ  เขตบางซื่อ  กรุงเทพมหานคร 10800 โทร. 02-581-5801,   02-585-5101,  097-059-2862",https://maps.app.goo.gl/wEy9rcC9kCM6UKnU6
หัวโขน ชุมชนสะพานไม้,ชุมชน,"602  ชุมชนสะพานไม้  ซอยประชาชื่น 18  ถนนประชาชื่น  แขวงบางซื่อ  เขตบางซื่อ กรุงเทพมหานคร 10800 โทร. :    02-585-7693,  081-318-2084",https://maps.app.goo.gl/Jmk3sG93RRR9tx7L6
ตลาดสดมณีพิมาน – ตลาดเตาปูน,ย่านการค้า,"44/14 อาคารศูนย์การค้ามณีพิมาน ถนนกรุงเทพฯ-นนทบุรี แขวงบางซื่อ เขตบางซื่อกรุงเทพมหานคร 10800 โทร. 02-046-8585,  062-651-8198  ",https://maps.app.goo.gl/QPYmN6Uydzxr7pWk8
