c_name,c_type,contact,googlemap
ตลาดปัฐวิกรณ์ (Pattavikorn Market),ตลาดสด,ถนนนวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร -,https://maps.app.goo.gl/aumJ99DLAuWqLnhj9
สวนเสรีไทย,สวนสาธารณะ,ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 0 2379 7884,https://maps.app.goo.gl/ihcCChQhBjUS4YqW9
สยามเจมส์ เฮอริเทจ,พิพิธภัณฑ์,234 ถนนประดิษฐ์มนูธรรม แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10220 โทร. 0 2766 9500 09 7365 9142,https://maps.app.goo.gl/6SArZVMXFDy5QE9u7
ศูนย์ประติมากรรมกรุงเทพฯ,พิพิธภัณฑ์,"4/18-19 ซอยนวลจันทร์ 56 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 0 2088 3888 ต่อ 1303, 1314",https://maps.app.goo.gl/2SHobbFRNCb2YNot8
วัดนวลจันทร์,ศาสนสถาน,ถนนนวลจันทร์ แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 0 2184 2554,https://maps.app.goo.gl/GZqfzuhjmTeak9m78
วัดบางเตย,ศาสนสถาน,39 หมู่ 6 ซอยนวมินทร์ 60 ถนนนวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 0 2510 0515,https://maps.app.goo.gl/7M6AUNGduNJXXZY69
วัดสุวรรณประสิทธิ์,ศาสนสถาน,"31/2 ถนน นวมินทร์ ซอย 42 ซอยสุวรรณประสิทธิ์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 				10240 โทร. 0 2138 6680",https://maps.app.goo.gl/zDaUrHSkXhhVjF2Z7
Sailom Sangdad Homey Studio,สตูดิโอถ่ายภาพ,92/10 ถนนรามอินทรา แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 09 3232 9223,https://maps.app.goo.gl/dyzdszLkNQrscdD58
วัดพิชัย,ศาสนสถาน,30 ถนนเสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240 โทร. 0 2377 9978,https://maps.app.goo.gl/gU4SWYRAQ8mDfmPa9
สวนนวมินทร์ภิรมย์,สวนสาธารณะ,16 ถนนศรีบูรพา แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240 โทร. 0 2364 7422 ต่อ 6289-90,https://maps.app.goo.gl/iq5nfUAUBBD58moP9
NJ Golf Club สนามไดร์ฟกอล์ฟ,สนามกีฬา,127 399 ถนนนวลจันทร์ ซอยรามอินทรา 40 เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 0 2949 9604 ,https://maps.app.goo.gl/aZPcbcPW5wvW3eAG7
Badminton One,สนามกีฬา,"377,22 หมู่ 9 ถนนคลองลำเจียก แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 2509 3008 , 08 9155 5115 ติอต่อคุณ อรสา",https://maps.app.goo.gl/JHNcjoRAPUTFuCpHA
Heavy Crepes & Coffee @คลองลําเจียก,คาเฟ่,"ถนนคลองลำเจียก แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 โทร. 09 3515 9941, 08 3420 1800",https://maps.app.goo.gl/T87znWY9P8Dwcm2Q7
Town Tree (ทาวน์ทรี),คาเฟ่,"ถนนประเสริฐมนูญกิจ แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240 โทร. 02 508 0485, 08 3430 6888 ",https://maps.app.goo.gl/oZhRwzJfJUyQThGH7
