c_name,c_type,contact,googlemap
ตลาดนัดจตุจักร,ตลาดนัด,ถนนกำแพงเพชร 2 แขวงจตุจักร  เขตจตุจักร กรุงเทพมหานคร 10900  โทร. 02-272-4270-1 (กองอำนวยการตลาดกรุงเทพมหานคร)   ,https://goo.gl/maps/Fz9aaTZp77P7z8f6A
ตลาดบองมาเช่,ตลาด/แหล่งรวมร้านอาหาร,เลขที่ 105/1 ถนนเทศบาลสงเคราะห์ แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-953-8980-9 ,https://goo.gl/maps/46VesA7QWt7whEj48
ตลาด อ.ต.ก.,ตลาด/แหล่งรวมร้านอาหาร,ถนนกำแพงเพชร แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900  โทร. 02-279-2080,https://goo.gl/maps/DMeVwfhneXCTpy797
ตลาดลุงเพิ่ม – ตลาดหลังการบินไทย,ตลาดนัด,อยู่ในซอยวิภาวดี 22  ใกล้ห้าแยกลาดพร้าวหรือโรงเรียนเซนต์จอห์น อยู่หลังตึกบริษัท การบินไทย สำนักงานใหญ่ (ถ.วิภาวดีรังสิต) โทร. 090-445-1414,https://goo.gl/maps/DyiWyX8d1CAKNehL7
ศูนย์การค้ามิกซ์ จตุจักร ,ศูนย์การค้า,เลขที่ 8 ถนนกำแพงเพชร 3  เขตจตุจักร  กรุงเทพมหานคร 10900 โทร. 02-079-4888,https://goo.gl/maps/fNtiAgLkLBBPHCyv5
ศูนย์หัตถกรรมทองลงหิน ,ศูนย์หัตถกรรม,เลขที่ 13 ซอยพหลโยธิน 47-49 เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-579-2861 ,https://goo.gl/maps/1Fus2muEwCig22sN6
วัดเสมียนนารี     ,วัด,"เลขที่ 32 ถนนกำแพงเพชร 6 (เลียบถนนวิภาวดีรังสิต) แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-589-4972, 02-954-4832, 02-580-2729",https://goo.gl/maps/CtarcHHk2HozqfMV8
วัดเทวสุนทร (วัดสุนทริการาม),วัด,เลขที่ 33 ถนนวิภาวดี รังสิต แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-580-6729,https://goo.gl/maps/8CfAWMsiGmCCLPra9
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,สวนสาธารณะ,ถนนกำแพชร 2 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-272-4358 ,https://goo.gl/maps/2tADpWhcWsxXje4DA
สวนวชิรเบญจทัศ (สวนรถไฟ),สวนสาธารณะ,ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-537-9221,https://goo.gl/maps/7Jz8sDhsgao4ZNBc9
อุทยานผีเสื้อและแมลงกรุงเทพฯ,แหล่งเรียนรู้,"ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-272-4359-60, 02-272-4680",https://goo.gl/maps/QRtbd2EaqBXv1aL46
หอจดหมายเหตุพุทธทาส อินทปัญโญ (สวนโมกข์ กรุงเทพฯ),หอจดหมายเหตุ,ถนนนิคมรถไฟสาย 2 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-936-2800,https://goo.gl/maps/vP2EKCFZrW86cGvm7
พิพิธภัณฑ์เด็กกรุงเทพมหานคร  แห่งที่  1 (จตุจักร),พิพิธภัณฑ์/แหล่งเรียนรู้,เลขที่ 810 ถนนกำแพงเพชร 4 เขตจตุจักร กรุงเทพมหานคร 10900 โทร. 02-272-4500     ,https://goo.gl/maps/pnunr52FECDagmhD6
เบียร์หิมะ (สาขาประชาชื่น),ร้านอาหาร,"12/21 ซอยประชานิเวศน์ 1 ถนนเทศบาลสงเคราะห์ แขวงลาดยาว เขตจตุจักร  กรุงเทพมหานคร 10900 โทร. 02-954-3404-5, 089-827-6212, 085-819-9673",https://goo.gl/maps/XeU8D5g4eKKVGpG56
ครัวสา รสจัด,ร้านอาหารไทย,"เลขที่ 112/1 ซอยวิภาวดีรังสิต 44 ถนนวิภาวดีรังสิต กรุงเทพมหานคร 10900 โทร. 02-561-3355, 02-579-0021, 02-579-0022, 081-496-9181",https://goo.gl/maps/ZhD5oySVVLhVj7WX8
