c_name,c_type,contact,googlemap
วัดราชโอรสารามราชวรวิหาร,วัด,258 ซอยเอกชัย 4 ถนนเอกชัย จอมทอง กรุงเทพมหานคร 10150 โทร 0 2893 7274,https://maps.app.goo.gl/2i4mxvQJgSsevi3r7
วัดนางนองวรวิหาร,วัด,ซอยวุฒากาศ 42 ถนนวุฒากาศ แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร 10150 โทร 0 2875 4317,https://maps.app.goo.gl/nEuKGeGFSB5HDfSQA
วัดหนังราชวรวิหาร,วัด,"200 ซอย วุฒากาศ 42 แขวงบ้างค้อ เขตอจอมทอง กรุงเทพมหานคร	 โทร. 08 7009 2900	",https://maps.app.goo.gl/YnJaqW6Ar5BZp5CW8
พิพิธภัณฑ์เพื่อการศึกษา วัดหนังราชวรวิหาร,พิพิธภัณฑ์,"200 ซอย วุฒากาศ 42 แขวงบ้างค้อ เขตอจอมทอง กรุงเทพมหานคร 10150 โทร. 08 7009 2900 , 06 2925 6898",https://maps.app.goo.gl/78f9F7iZ2HGPNfZNA
ตลาดอินดี้ดาวคะนอง,ตลาด,ซอยสุขสวัสดิ์ 2 ถนนสุขสวัสดิ์ จอมทอง กรุงเทพมหานคร 10150 โทร. 0 2101 1236,https://maps.app.goo.gl/hgXH5dqGxk9QXw9m8
วัดไทร,วัด,"ซอยเอกชัย 23 แขวง บางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 โทร. 0 2427 9098, 0 2427 4892",https://maps.app.goo.gl/Y5LKvq7JmktLp17E6
ตลาดน้ำวัดไทร,ตลาด,"ซอยเอกชัย 23 แขวง บางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 โทร. 0 2427 9098, 0 2427 4892 ",https://maps.app.goo.gl/nYkX7HFX87eSHrEH6
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร,พิพิธภัณฑ์,วัดยายร่ม ถนนพระรามที่ 2 ซอย 33 แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150              โทร. 0 2428 0685,https://maps.app.goo.gl/tdNBZ56Z7GU7Vcd88
วัดบางขุนเทียนกลาง,วัด,"ซอย พระราม2 ซอย 28, ซอยจอมทอง 19 จอมทอง, กรุงเทพมหานคร 10150	",https://maps.app.goo.gl/YY1VQKruQRUmhWNC7
วัดสิงห์ จอมทอง,วัด,35 เอกชัย 43 แขวง บางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150  โทร. 0 2415 3832 ,https://maps.app.goo.gl/N2XSRUXbAnQBRydt7
วัดยายร่ม,วัด,24 ถ. พระราม 2 (ธนบุรี –ปากท่อ) หมู่ที่ 6 ซ. 33 บางมด จอมทอง  กรุงเทพมหานคร 10150 โทร. 0 2427 1987,https://maps.app.goo.gl/tGEwLHS2BhL1suFn9
วัดบางขุนเทียนใน,วัด,จอมทอง 13 แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150 โทร. 09 7024 4528,https://maps.app.goo.gl/w7D2hiFwfuT8wK7a9
วัดศาลาครืน,วัด,"102/ 42 ถนน วุฒากาศ แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร 10150 โทร. 0 2427 9098, 0 2427 4892",https://maps.app.goo.gl/wx5buNHKaecjaE8x5
วัดสีสุก,วัด,"16 พระราม 2 ซอย 28 แยก 14 แขวง บางมด เขตจอมทอง กรุงเทพมหานคร 10150 โทร.0 2427 9098, 0 2427 4892",https://maps.app.goo.gl/Fg78iYr93suPFkpL8
วัดบางขุนเทียนนอก,วัด,"1 หมู่ที่ 7 แขวง บางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 โทร. 0 2427 9098, 0 2427 4892",https://maps.app.goo.gl/2GFDFUUS8897FgAX7
