c_name,c_type,contact,googlemap
สวนรมณีย์ทุ่งสีกัน,สวนสาธารณะ,ถนนเวฬุวนาราม แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210 โทร 0 2565 5510,https://maps.app.goo.gl/Bunb7EB8jm6wFv4t8
เรือนรัตนโกสินทร์,แหล่งเรียนรู้,"90/9 หมู่ 5 ถนนสรงประภา แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 				10210 โทร 08 9483 1985",https://maps.app.goo.gl/QaPHFHnJ21w1LXpo8
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตดอนเมือง,พิพิธภัณฑ์,"วัดพรหมรังษี 24/1 หมู่ 5 แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210	 โทร. 0 2531 6158	",https://maps.app.goo.gl/yXvm83aJmN9XFihD6
พิพิธภัณฑ์กองทัพอากาศ,พิพิธภัณฑ์,"171 ถนนพหลโยธิน แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210	 โทร. 0 2531 6158",https://maps.app.goo.gl/QuHV73JsoM7q28Em8
ตลาดเจ้เล้ง,ตลาด,40/85 แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210 โทร. 0 2521 8811 - 7,https://maps.app.goo.gl/YfD3z5WhFoyDqHp69
ตลาดนัดบุญอนันต์,ตลาด,หมู่บ้านบุญอนันต์ ถนนสรงประภา แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210 โทร. 09 7234 6878,https://maps.app.goo.gl/8dGu4Hs59aJBvVjDA
ตลาดใหม่ดอนเมือง,ตลาด,ตลาดแอร์พอร์ต (ตลาดใหม่ดอนเมือง) ซอยเชิดวุฒากาศ 4 ถนนเชิดวุฒากาศ 4 แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210 โทร. 06 4179 5320 ,https://maps.app.goo.gl/sHQqFFF79riPJad68
สนามกอล์ฟกานตรัตน์ ( สนามงู ),สนามกีฬา,"171 ถนนวิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210              โทร. 0 2534 3842, 08 9117 7483",https://maps.app.goo.gl/BMPZweCa78jk4W9V9
วัดดอนเมือง,วัด,"1 ถนนเชิดวุฒากาศ แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210 โทร. 0 2566 4285	",https://maps.app.goo.gl/BRsWPRRCAH5YVgWF9
วัดสีกัน - พุทธสยาม,วัด,เลขที่ 1/1 ถนนสรงประภา แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210  โทร. 0 2565 5411 ,https://maps.app.goo.gl/jZ22jTLemo6PYnWPA
วัดเวฬุวนาราม ( ไผ่เขียว ),วัด,449 แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210 โทร. 0 2574 3652,https://maps.app.goo.gl/oSNUYUdnMYY1m4d77
สนามบินดอนเมือง,ท่าอากาศยาน,222 ถนนวิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210 โทร. 0 2535 1192,https://maps.app.goo.gl/ZjZeujDYzYcX33T49
วัดพรหมรังษี ดอนเมือง,วัด,"เลขที่ 24/1 ซอยช่างอากาศอุทิศ 28 แยก1 ถนนช่างอากาศอุทิศ แขวงดอนเมือง 	เขตดอนเมือง 10210 โทร.0 2565 9054",https://maps.app.goo.gl/tm87d9QknchcReY28
วัดเทพนิมิตต์ ดอนเมือง,วัด,"ซอยวัดเทพนิมิตต์ (ประชาอุทิศ 14) ถนนประชาอุทิศ แขวงดอนเมือง เขตดอนเมือง 	10210 โทร.0 2565 3535",https://maps.app.goo.gl/4jh8fUuSTaWhEppP9
วัดมารีย์สวรรค์ ดอนเมือง ( โบสถ์มารีย์สวรรค์ ),วัด,"18/95 หมู่ 1 ถนนสรงประภา แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 	10210 โทร. 0 2565 3535",https://maps.app.goo.gl/34FXRD7B8mxxtQpv8
