c_name,c_type,contact,googlemap
วัดอนงคาราม,วัด,"41 ถนนสมเด็จเจ้าพระยา แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600 โทร 0 2437 6037, 08 3070 8378",https://maps.app.goo.gl/td2iX7Pn3osUN1iE8
วัดเศวตฉัตรวรวิหาร,วัด,1401 ซอยเจริญนคร 25 ถนนเจริญนคร แขวงบางลำพูล่าง เขตคลองสาน กรุงเทพมหานคร 10600 โทร 0 2860 2215,https://maps.app.goo.gl/Xuw6WwKrsxzSZjBn8
อุทยานเฉลิมพระเกียรติสมเด็จพระศรีนครินทราบรมราชชนนี,พิพิธภัณฑ์,"ซอยสมเด็จเจ้าพระยา3 แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600	 โทร. 0 2439 0902, 0 2437 7799	",https://maps.app.goo.gl/zxiu1iL5MyeBNkcM9
เดอะล้ง 1919 ริเวอร์ไซด์ เฮอริเทจ เดสติเนชั่น,คอมมูนิตี้มอลล์,248 ถนนเชียงใหม่ แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 โทร. 09 1187 1919,https://maps.app.goo.gl/3rjbfeagoZ2hinkBA
พิพิธภัณฑ์โรงพยาบาลสมเด็จเจ้าพระยา,พิพิธภัณฑ์,"112 ถนนสมเด็จเจ้าพระยา แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 โทร. 0 2442 2500, 0 2497 1398, 0 2437 0200 ต่อ 4114 หรือ 4115",https://maps.app.goo.gl/TBRQk3hFfEQCScjs5
ศาลเจ้าซำไนเก็ง,ศาลเจ้า,ซอยท่าดินแดง15 แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร10600 โทร. 0 2863 1488,https://maps.app.goo.gl/LpCodGpX8Xs4bDFW7
ศาลเจ้ากวนอู คลองสาน,ศาลเจ้า,"354/3 ซอยสุดเกษม(หลังอุทยานสมเด็จย่า) แขวงสมเด็จเจ้าพระยา
เขตคลองสาน กรุงเทพฯ 10600 โทร. 0 2439 6309",https://maps.app.goo.gl/Xf1K7sHTM28wdL6g9
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตคลองสาน,พิพิธภัณฑ์,อาคารหอสมุดวัดอนงคาราม ชั้น 2 ถนนสมเด็จเจ้าพระยา แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600              โทร. 0 2437 5546,https://maps.app.goo.gl/XK3qKQvTjjYxjSaA9
มัสยิดกูวติลอิสลาม (สุเหร่าตึกแดง),มัสยิด,656 ถนนสมเด็จเจ้าพระยา แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600 โทร. 0 2438 2824,https://maps.app.goo.gl/AWUbJnBpFLQoS8Ff6
สวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสิน,สวนสาธารณะ,404 ถนนกรุงธนบุรี แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600  โทร. 0 2437 9995 ,https://maps.app.goo.gl/z9j8ShdtAPZCqYZf6
ไอคอนสยาม (ICONSIAM),ช๊อปปิ๊งมอลล์,"299 ถนนเจริญนคร แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 โทร. 0 2495 7080, 0 2495 7000",https://maps.app.goo.gl/ijFRZQ78grfVdgyA7
วัดทองนพคุณ,วัด,"103 หมู่ 6 ถนนสมเด็จเจ้าพระยา 17 แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 โทร. 0 2437 9067, 0 2438 8898, 08 1925 2534",https://maps.app.goo.gl/rAtwji2E12SW1hw26
วัดพิชยญาติการาม (วัดพิชัยญาติ),วัด,"ถนนสมเด็จเจ้าพระยา ซอย 2 แขวงสมเด็จเจ้าพระยา เขตคลองสานกรุงเทพมหานคร 10600 โทร. 0 2438 1738, 0 2861 4319",https://maps.app.goo.gl/YaPBhRMKvRXP9HwSA
วัดจีจินเกาะ,วัด,"494 ซอยสมเด็จเจ้าพระยา17 แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 โทร. 0 2437 2196, 0 2863 3275",https://maps.app.goo.gl/UbLhMZLZCb4kFmtQ7
