c_name,c_type,contact,googlemap
ศูนย์วิทยาศาสตร์เพื่อการศึกษาแห่งชาติ (ท้องฟ้าจำลองกรุงเทพฯ),พิพิธภัณฑ์,"928 ถนนสุขุมวิท เขตคลองเตย กรุงเทพมหานคร10110 โทร. 023910544, 023920508, 023921773 ",https://maps.app.goo.gl/mqFnusU6s4UJCQRP7
ตลาดคลองเตย,ตลาดสด,1 ถนนเกษมราษฎร์ แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร10110,https://maps.app.goo.gl/hLb5SpWqQpXkX6p18
วัดสะพาน,วัด,"472 ถนน ณ ระนอง แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10260	 โทร. 0 2311 5126	",https://maps.app.goo.gl/v3P9xrpnZJE9ZECw6
ตำหนักบ้านปลายเนิน,พิพิธภัณฑ์,1164 ถนนพระรามที่ 4 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 0 2249 4280,https://maps.app.goo.gl/3nkEULP12rCn6aMc9
สวนเบญจกิติ,สวนสาธารณะ,ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 02254 1263,https://maps.app.goo.gl/DDJfnHdNr6eo3JLx5
อุทยานเบญจสิริ,สวนสาธารณะ,ถนนสุขุมวิท ระหว่างซอยสุขุมวิท 22 - 24 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร โทร. 0 2262 0810,https://maps.app.goo.gl/ShCFeKmtCCzj3S3A6
The Emporium,ช้อปปิ้งมอลล์,ถนนสุขุมวิท แขวนคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 0 22691000,https://maps.app.goo.gl/JMsFoWc494iK25H38
Flow House Bangkok,ลานกีฬาทางน้ำ,120/1 โครงการ เอ สแควร์ ซอย สุขุมวิท 26 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110               โทร. 0 2108 5210,https://maps.app.goo.gl/hJJSyPt16XsSTdHi8
Gateway Ekamai,ช้อปปิ้งมอลล์,982 22 ถนนสุขุมวิท เเขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 0 2108 2888,https://maps.app.goo.gl/LyTD1JzAQp3FoNjQA
วัดคลองเตยนอก,วัด,36 ถนนเกษมราษฎร์ แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 0 2671 1160,https://maps.app.goo.gl/aFHgGaoqVs8uxLgu8
วัดคลองเตยใน,วัด,"472 ถนนณ ระนอง แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 02249 6458, 022493364",https://maps.app.goo.gl/B1AinXXnyMNznofCA
Suanplern Market - สวนเพลิน     มาร์เก็ต,คอมมูนิตี้มอลล์,3654 ถนนพระราม4 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 0 2249 8854,https://maps.app.goo.gl/bqbskn6HYRgxfLXq7
ในป่า อาร์ท คอมเพลกส์ (Naiipa Art Complex),อาคารสำนักงาน,46 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 065 551 4147,https://maps.app.goo.gl/ytK1z6FgaRPh1b338
Puzzle Room Bangkok,สวนสนุก,21/8 ซอยสุขุมวิท18 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 063 939 9080,https://maps.app.goo.gl/j47N8VAfmrALR6tu5
สีลมซาวน่า สุขุมวิท22,สถานบริการ,401/17 ซอยสุขุมวิท22 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 โทร. 02 663 4010,https://maps.app.goo.gl/MGrgKFNrrU5xi7hW6
