c_name,c_type,contact,googlemap
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตลาดกระบัง ,พิพิธภัณฑ์,132 ถนนเลียบคลองมอญ แขวงทับยาว เขตลาดกระบัง  กรุงเทพมหานคร 10520 โทร. 0 2360 6520,https://goo.gl/maps/7BZ4xNsmWmPj9Vvj7
พิพิธภัณฑ์งูสยามเซอร์เพนทาเรียม Siam Serpentarium,พิพิธภัณฑ์,969 ถนนหลวงแพ่ง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 0 2326 5800,https://goo.gl/maps/3iGFxuu83v6EAkNU9
วัดสุทธาโภชน์,วัด,"39 ถนนฉลองกรุง แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 0 2360 6078, 0 2360 6058",https://goo.gl/maps/cZ6Z4x9U3g6MEbJC9
ห้องสมุดสีเขียว Green Library,ห้องสมุดเพื่อการเรียนรู้,160/462 ถนนเคหะร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 0 2543 9187,https://goo.gl/maps/zyakAo1VioTyxVNp9
ตลาดหัวตะเข้,ตลาด/ชุมชนเก่าแก่,"ซอยกระบัง 17 ถนนลาดกระบัง แขวงลาดกระบัง  เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 08 3771 4111, 08 3043 1845",https://goo.gl/maps/9umJVP29yoi4pBUz7
วัดลานบุญ (วัดหนึ่ง),วัด,1 หมู่ 7 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 0 2329 0909,https://goo.gl/maps/wQW9LMuJsgDhLH227
ตลาดหลวงแพ่ง,ตลาด/ชุมชนเก่าแก่,ซอยหลวงแพ่ง 5 แขวงขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 08 1285 5646,https://goo.gl/maps/nzfmmDxXPzsS1TjNA
สวนพระนคร กรุงเทพมหานคร,สวนสาธารณะ,569 ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 06 2596 1056,https://goo.gl/maps/qzhPtg8NdGDsEvJ38
ตลาดนัดสุวรรณภูมิ,ตลาด/แหล่งจับจ่ายใช้สอย,"2104 ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 โทร. 08 5934 0563, 09 1813 7540",https://goo.gl/maps/3hxcvwQbrABhasiY6
The Paseo Mall,คอมมูนิตี้มอลล์,"318/5 ถนนลาดกระบัง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร  10520 โทร. 0 2329 8999, 0 2329 8880",https://goo.gl/maps/8QaFXu2cMjrcE4UW6
หอสมุดแห่งชาติเขตลาดกระบัง เฉลิมพระเกียรติ,หอสมุด,280/8 ถนนฉลองกรุง แขวงลาดกระบัง  เขตลาดกระบัง  กรุงเทพมหานคร  10520 โทร. 0 2739 2298,https://goo.gl/maps/zR8XZD3y1EEQjBU68
