id,name,type,contact,googlemap
1,วัดไตรมิตรวิทยารามวรวิหาร,วัด,661 ถนนเจริญกรุง แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 08 9002 2400,https://goo.gl/maps/1sH6CoiJea33KZk3A
2,วัดสัมพันธวงศารามวรวิหาร,วัด,"579 ถนนทรงสวัสดิ์ แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2222 5840, 0 2622 5210",https://goo.gl/maps/SExJhyfPXJgKJmiw5
3,ธนาคารไทยพาณิชย์ สาขาตลาดน้อย,สถาปัตยกรรมทรงคุณค่า/พิพิธภัณฑ์,1280 ถนนโยธา แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2237 5001-4,https://goo.gl/maps/7Qnq7fQ99XpbXUnT6
4,วัดแม่พระลูกประคำ (กาลหว่าร์),โบสถ์คริสต์,987 ซอยวานิช 2 แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2266 4849,https://goo.gl/maps/9dYRJhB2wfTwQR6T8
5,ศาลเจ้าเล่าปุนเถ้ากง,ศาลเจ้าจีน,"833 ซอยอิศรานุภาพ ถนนทรงวาด เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2221 6598, 0 2622 4665",https://goo.gl/maps/q3njTxMjsEJ1XTrh6
6,ศาลเจ้าเล่งบ๊วยเอี๊ยะ,ศาลเจ้าจีน,125 ซอยเยาวราช 6  แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 08 1614 5992,https://goo.gl/maps/yjzqWYDnYuMunspp7
7,ตลาดน้อย Street Art,สตรีทอาร์ตริมกำแพงและผนังอาคาร,สามารถเดินชมโดยเริ่มจากซอยเจริญกรุง 22 ถึงซอยเจริญกรุง 32 เขตสัมพันธวงศ์  ,https://goo.gl/maps/1Nf1UdfRBdfbqcxQ7
8,พิพิธภัณฑ์ท้องถิ่นเขตสัมพันธวงศ์,พิพิธภัณฑ์,1460 ถนนทรงวาด แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2233 3316 ,https://goo.gl/maps/GgYUuAJw39ak4xZz6
9,ร้านซุ้ยล้ง ถังไม้สักโบราณ,ร้านค้า,"1159 ถนนทรงวาด แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2233 8366, 0 2639 6900 ",https://goo.gl/maps/C4b5h6qQSbzT2WxC8
10,ซุ้มประตูเฉลิมพระเกียรติ (Royal Jubilee Gate),ซุ้มประตู,685 ถนนตรีมิตร แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ 10100,https://goo.gl/maps/bcqw7uT63kVWZYLDA
11,มัสยิดหลวงโกชาอิศหาก,สถาปัตยกรรมจีน,"979 ถนนทรงวาด แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2622 4946, 08 1439 2487",https://goo.gl/maps/ukHYRDZDAneCkVU99
12,Loftel 22 Hostel,มัสยิด,"952 ถนนเจริญกรุง แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2117 9322, 09 5250 4808",https://goo.gl/maps/5hGKe5V8qwu8BEqj8
13,Dhammachard 1608 (บ้านธรรมชาติ),ที่พัก,"1618 ถนนทรงวาด แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 08 8493 9990, 06 4752 2103",https://goo.gl/maps/vV19DusKi38bQGJn7
14,เป็ดตุ๋นเจ้าท่า,ที่พัก,945 ซอยวานิช 2 แขวงตลาดน้อย  เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2233 2541,https://goo.gl/maps/URky3gR4jB2SvqZ47
15,ก๋วยเตี๋ยวรู ตลาดน้อย,ร้านอาหาร,970/1 ถนนเจริญกรุง แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพฯ 10100 โทร. 0 2233 1697,https://goo.gl/maps/MCxkNWgEgDKsxuha6
