c_name,c_type,contact,googlemap
ตลาดน้ำตลิ่งชัน,ตลาดน้ำ,ตลาดน้ำริมคลองชักพระ แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร (หน้าสำนักงานเขตตลิ่งชัน) โทร. 08 5832 1918,https://goo.gl/maps/yPZGp4aYgeHu9RGp8
วัดจำปา,วัด,27 หมู่ที่ 5 บ้านคลองบางระมาด ถนนพุทธมณฑลสาย 1 แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 08 1498 6019,https://goo.gl/maps/2SFM1XQxvvbY2Dbk6
ชุมชนเกาะศาลเจ้า,ชุมชน,ถนนบรมราชชนนี แขวง ฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 08 7036 6322 (ติดต่อ : นายทวีศักดิ์ หว่างจันทร์ ประธานชุมชนวัดจำปา),https://goo.gl/maps/yvs4Nfh7wX66pxFCA
ตลาดน้ำวัดจำปา,ตลาดน้ำ,"ซอยโชคสมบัติ แขวง บางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 08 3253 5219, 08 9810 1770",https://goo.gl/maps/8TU6wHzr6ut8Gi3p7
ตลาดน้ำคลองลัดมะยม,ตลาดน้ำ,"30/1 หมู่ที่ 15 ถนนบางระมาด แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2422 4270, 08 9215 2659",https://goo.gl/maps/ZP8SG28hkmUYbBXv6
วัดเกาะ บางเชือกหนัง,วัด,15 ซอยราชพฤกษ์ 8 แยก 11 ถนนราชพฤกษ์ แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2410 7806 (โรงเรียนวัดเกาะ),https://goo.gl/maps/d4oikjp99Wc8y7Us9
วัดกาญจนสิงหาสน์วรวิหาร (วัดทอง),วัด,686 ริมคลองบางพรมฝั่งเหนือ แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2418 5067,https://goo.gl/maps/w9WNKGfkDZzfg8zG8
วัดศีลมหาสนิท,วัด (คริสต์),"2 ซอยราชพฤกษ์ 36 ถนนราชพฤกษ์ แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2433 4529, 08 4512 2288",https://goo.gl/maps/fV3oo6jWX8ZGPDgB9
ศูนย์มานุษยวิทยาสิรินธร,ศูนย์ข้อมูลความรู้,20 ถนนบรมราชชนนี แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2880 9429,https://goo.gl/maps/2hVZfFGsyESAzT8r8
พิพิธภัณฑ์คนโบราณ บ้านบางระมาด,พิพิธภัณฑ์,117 ซอยจำปา ถนนกาญจนาภิเษก แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 08 8095 0759,https://goo.gl/maps/eFEHhehzvLvXSEki6
บ้านจักรยาน,โรงจัดแสดง,"76/10 ซอย สวนผัก 6 แขวง ตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2424 4705, 09 4429 9227 (อาจารย์ทวีไทย บริบูรณ์ ผู้ก่อตั้ง)",https://goo.gl/maps/RbV4MqS5bbW1q1wSA
สวนกล้วยไม้ลุงนิยม,สวนเกษตร,1109/1 ซอย กำนัน แขวง บางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 09 4478 5260,https://goo.gl/maps/Qzc2EL2qFJKc22yM6
ศาลเจ้าเง็กฮกตึ้ง (เจ้าพ่อเห้งเจีย),ศาลเจ้าจีน,"19 ถนนสวนผัก แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2435 1143, 0 2884 2522-3",https://goo.gl/maps/CvtBtYW5BT5GUK3u6
สวนมณฑลภิรมย์,สวนสาธารณะ,ถนนพุทธมณฑล สาย 1 แขวง บางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2424 1415 (สำนักงานเขตตลิ่งชัน),https://goo.gl/maps/MDMHx5WuNx7gKU638
เดอะ เซอร์เคิล ราชพฤกษ์,คอมมูนิตี้มอลล์,39 ถนนราชพฤกษ์ แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 โทร. 0 2865 6850,https://goo.gl/maps/md1ecxTWGFboU4sQA
