c_name,c_type,contact,googlemap
พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตธนบุรี,พิพิธภัณฑ์,ชั้น 3 โรงเรียนสอนพุทธศาสนาวันอาทิตย์ วัดประยุรวงศาวาสวรวิหาร ถนนประชาธิปก แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600 โทร 0 2465 5552,https://maps.app.goo.gl/thGMJrag7zPwrA13A
พระบรมราชานุสาวรีย์สมเด็จพระเจ้ากรุงธนบุรี,อนุสาวรีย์,86 ถนนลาดหญ้า แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600,https://maps.app.goo.gl/VVkxaVaXPxS6x1Z5A
ชุมชนกุฎีจีน,ชุมชน,271 ซอยกุฎีจีน3 ถนนเทศบาลสาย1 แขวงวัดกัลยาณ์ เขตธนบุรีกรุงเทพมหานคร 10600 โทร. 08 1772 5184,https://maps.app.goo.gl/y1AA7s25yisUeFxG9
ชุมชนวัดบางไส้ไก่,ชุมชน,ชุมชนบางไส้ไก่ ซอยอิสรภาพ 15 ถนนอิสรภาพ แขวงหิรัญรูจี เขตธนบุรีกรุงเทพมหานคร 10600 โทร. 08 1513 6649 (ประธานชุมชน) ,https://maps.app.goo.gl/Dtp5HxrUgibXFGLdA
ชุมชนตลาดพลู,ชุมชน,ซอยเทิดไท 20 แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600,https://maps.app.goo.gl/EGFYTRiHBc34E2X97
คริสตจักรที่ 1 สำเหร่,ศาสนสถาน,37 ซอยเจริญนคร 59 แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2877 7287,https://maps.app.goo.gl/K48z9txfmBzxPb226
มัสยิดบางหลวง,ศาสนสถาน,151 ถนนอรุณอมรินทร์ แขวงวัดกัลยา เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2466 6157,https://maps.app.goo.gl/8wE9RWoho71Jae578
วัดกัลยาณมิตรวรมหาวิหาร,ศาสนสถาน,"371 ถนนอรุณอัมรินทร์ตัดใหม่ (ถนนเทศบาลสาย3) แขวงวัดกัลยาณ์
เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2466 4665, 08 6709 2829",https://maps.app.goo.gl/YDHjtoEcugezrUeU9
วัดประยุรวงศาวาสวรวิหาร,ศาสนสถาน,24 ถนนประชาธิปก แขวงวัดกัลยา เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2466 1693,https://maps.app.goo.gl/thGMJrag7zPwrA13A
ศาลเจ้าเกียนอันเกง,ศาสนสถาน,230 ถนนเทศบาล แขวงวัดกัลยา เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 09 1769 0824 ,https://maps.app.goo.gl/MLaDDsfc1ButHFXeA
วัดบุคคโล,ศาสนสถาน,142 เจริญนครซอย 63 แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2468 7639,https://maps.app.goo.gl/FFxx1P7qAb94pdb7A
วัดซางตาครู้ส,ศาสนสถาน,"112 ซอยกุฎีจีน ถนนอรุณอัมรินทร์ แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2472 0153-4, 09 0415 3728",https://maps.app.goo.gl/mALKWYPzLmbc2otL7
วัดเวฬุราชิน,ศาสนสถาน,"154 ถนนเทิดไท แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2472 3019, 08 9616 7553",https://maps.app.goo.gl/L4uz3iBN9pr9B35a8
วัดโพธินิมิตสถิตมหาสีมาราม,ศาสนสถาน,"96 ซอยเทอดไท 19 แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2465 7337, 08 9455 5511",https://maps.app.goo.gl/bpbAniMcJm2s1SMb8
วัดขุนจันทร์,ศาสนสถาน,"1144 เทอดไท28 แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600 โทร. 0 2465 1901, 08 3836 0071",https://maps.app.goo.gl/z29dWp7QypBEdv8j6
