c_name,c_type,contact,googlemap
วัดหลวงพ่อโอภาสี,วัด,72/3 ซอยพุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร 08 1588 9848,https://maps.app.goo.gl/BhX6tHknnZbNxQQX7
วัดพุทธบูชา,วัด,172 ถนนพุทธบูชา 30 แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร 0 2426 4962,https://maps.app.goo.gl/v8SYP8fLt6BSUKcW8
กำปงในดงปรือ,ชุมชน,"ซอยพุทธบูชา 36 แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140	 โทร. 08 3024 8107 	",https://maps.app.goo.gl/S5Ykgq9vj1kn411q9
สวนธนบุรีรมย์,สวนสาธารณะ,"203 หมู่ 2 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140	 โทร. 08 1430 3149",https://maps.app.goo.gl/Qi1d9fBdjmSEFTTMA
พิพิธภัณฑ์เด็กทุ่งครุ,พิพิธภัณฑ์,10 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร. 0 2426 3623,https://maps.app.goo.gl/zibqvvPXEKhuXpYP7
โรงละครช้าง,โรงเรียนสอนการเต้น,700 ซอยประชาอุทิศ 59 แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร. 09 3545 1598,https://maps.app.goo.gl/6uJyjpizAnH5DJLd8
วัดทุ่งครุ,วัด,ซอยประชาอุทิศ 84 ถนนประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร. 08 2062 0063,https://maps.app.goo.gl/gT68pF3yqExEapwt5
วัดบางมดโสธราราม,วัด,ซอยประชาอุทิศ 27 ถนนประชาอุทิศ แขวงบางมด กรุงเทพมหานคร 10140 โทร. 09 8964 5999,https://maps.app.goo.gl/nExfjGgcCaBnT4yc9
ตลาดมดตะนอย,ตลาด,มัสยิดนูรุ้ลหุดา ถนนพุทธบูชาซอย36 แยก 8 แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร. 08 1552 4643,https://maps.app.goo.gl/DHQ5bGTW1d9bGWaF8
ริมคลองบางมด,พื้นที่สาธารณะ,แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,https://maps.app.goo.gl/RKyjtgB4Aww8UoZB9
ศูนย์กีฬาเฉลิมพระเกียรติ,ศูนย์กีฬา,60/1 ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร. 0 2426 2267,https://maps.app.goo.gl/XevaX1sKmznB5hXp9
ห้องสมุดเพื่อการเรียนรู้ทุ่งครุ,ห้องสมุด,377/1 ถนนพุทธบูชา แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร.0 2426 5257,https://maps.app.goo.gl/oAxeYfJirjnkp9iJA
ตลาดใหม่ทุ่งครุ,ตลาด,ซอยประชาอุทิศ 61 ถนนประชาอุทิศฝั่งซ้าย แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 โทร.0 2427 8735-6,https://maps.app.goo.gl/GSisYcnkywBPi1aX8
มัสยิดอัลอิสติกอมะห์,มัสยิด,489/1 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,https://maps.app.goo.gl/RAdYpV8eYCjdK4Sh8
