no,district,name,type,address,phone,googlemap_url,hours_text
1,บางเขน,พิพิธภัณฑ์บ้านบางเขน,พิพิธภัณฑ์,เลขที่ 104/58 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,08 5921 6666,https://maps.app.goo.gl/WL3ZqTU7ZsS9jL2L7,ไม่พบข้อมูล
2,บางเขน,พิพิธภัณฑ์การฝึกหัดครูไทย,พิพิธภัณฑ์,สำนักศิลปะและวัฒนธรรม มหาวิทยาลัยราชภัฏพระนคร เลขที่ 9 ถนนแจ้งวัฒนะ แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร,"0 2544 8000 ต่อ 1512, 3128, 0 2522 660",https://maps.app.goo.gl/6vNyLt7bRWdizF8YA,จันทร์-ศุกร์ 08:30-16:30
3,บางเขน,Dog Park วัชรพล สวนวชิราภิรมย์,สถานที่พักผ่อนหย่อนใจ,BMA Dog Park สวนวชิราภิรมย์ แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,0 2222 2222,https://maps.app.goo.gl/BtZZgJuK4XyjmYAm9,เปิดทุกวัน 05:00-21:00
4,บางเขน,เพลินนารี่ มอลล์ วัชรพล,ช้อปปิ้งมอลล์,ถนนวัชรพล แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,0 2136 8121,https://maps.app.goo.gl/Jb8iSBvT4iNHck9L7,เปิดทุกวัน 10:00-21:00
5,บางเขน,พิพิธภัณฑ์ท้องถิ่นกรุงเทพเขตบางเขน,พิพิธภัณฑ์,อาคาร 18 มหาวิทยาลัยราชภัฏพระนคร ถนนแจ้งวัฒนะ แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,"0 2521 3267, 0 2225 2777 ต่อ 427",https://maps.app.goo.gl/59Lj2wJtDoKDryfV6,พุธ-อาทิตย์ 08:30-16:30
6,บางเขน,ตลาดต้นไม้ กองพันทหารราบ 11,ตลาดต้นไม้,กรมทหารราบที่ 11 รักษาพระองค์ ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,08 7995 3227,https://maps.app.goo.gl/VDcxinbK3kNfcNTq6,06:00-18:00
7,บางเขน,ตลาดนัดทุ่งทองหนองกง,ตลาดนัด,ริมคลองบึงพระยาสุเรนทร์ ชุมชนเกษตรก้าวหน้าลำรางหนองกง ซอยกาญจนาภิเษก 6 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,0 2986 0751,https://maps.app.goo.gl/e4Pmfzk8gTr2NZKv5,ไม่พบข้อมูล
8,บางเขน,ศูนย์เรียนรู้ดูทุ่งบางเขน,ศูนย์เรียนรู้ด้านการเกษตร,ริมคลองบึงพระยาสุเรนทร์ ชุมชนเกษตรก้าวหน้าลำรางหนองกง ซอยกาญจนาภิเษก 6 (เข้าซอยประมาณ 800 เมตร) แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10200,"0 2972 9960, 0 2521 0666 ต่อ 5885-5886 หรือติดต่อเพื่อเข้าชมหรือทำกิจกรรมได้ที่ ฝ่ายพัฒนาชุมชน เขตบางเขน โทร. 0 2986 0751",https://maps.app.goo.gl/dYp1r2V9qTzWeWoY7,ไม่พบข้อมูล
9,บางเขน,วัดพระศรีมหาธาตุวรมหาวิหาร,วัด,เลขที่ 149 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,0 2986 0832,https://maps.app.goo.gl/2ET1RpEhhjA9QZbG8,เปิดทุกวัน 07:00-18:00
10,บางเขน,วัดบางบัว,วัด,เลขที่ 50 ซอยพหลโยธิน 46 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ 10220,0 2940 1287,https://maps.app.goo.gl/TpqoasMZ9AVfkoX89,เปิดทุกวัน 08:00-17:00
