district,name,hours_text
บางเขน,พิพิธภัณฑ์บ้านบางเขน,ไม่พบข้อมูล
บางเขน,พิพิธภัณฑ์การฝึกหัดครูไทย,จันทร์-ศุกร์ 08:30-16:30
บางเขน,Dog Park วัชรพล สวนวชิราภิรมย์,เปิดทุกวัน 05:00-21:00
บางเขน,เพลินนารี่ มอลล์ วัชรพล,เปิดทุกวัน 10:00-21:00
บางเขน,พิพิธภัณฑ์ท้องถิ่นกรุงเทพเขตบางเขน,พุธ-อาทิตย์ 08:30-16:30
บางเขน,ตลาดต้นไม้ กองพันทหารราบ 11,06:00-18:00
บางเขน,ตลาดนัดทุ่งทองหนองกง,ไม่พบข้อมูล
บางเขน,ศูนย์เรียนรู้ดูทุ่งบางเขน,ไม่พบข้อมูล
บางเขน,วัดพระศรีมหาธาตุวรมหาวิหาร,เปิดทุกวัน 07:00-18:00
บางเขน,วัดบางบัว,เปิดทุกวัน 08:00-17:00
บางเขน,เสถียรธรรมสถาน,เปิดทุกวัน 07:30-17:00
บางเขน,ตลาดยิ่งเจริญ,เปิดทุกวัน 24 ชั่วโมง
บางเขน,The 9 Resort,เช็คอิน 14:00 เช็คเอาท์ 12:00 (Front Desk 24 ชม.)
บางเขน,ร้านระกาแฟ,ไม่พบข้อมูล
บางเขน,สวนอาหารบางบัว,เปิดทุกวัน 10:00-21:00
บางขุนเทียน,วัดบางกระดี่,ไม่พบข้อมูล
บางขุนเทียน,วัดกก,ไม่พบข้อมูล
บางขุนเทียน,ทะเลบางขุนเทียน,06:00-18:00
บางขุนเทียน,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตบางขุนเทียน,จันทร์-อาทิตย์ 09:00-16:00
บางขุนเทียน,ศูนย์ศิลปวัฒนธรรมมอญบางกระดี่,ไม่พบข้อมูล
บางขุนเทียน,ศาลเจ้าแม่งูจงอางและลูก,ไม่พบข้อมูล
บางขุนเทียน,วัดหัวกระบือ,ไม่พบข้อมูล
บางขุนเทียน,พิพิธภัณฑ์ว่าวไทย,จันทร์-ศุกร์ 09:00-16:00
บางขุนเทียน,ชุมชนแสนตอ,ไม่พบข้อมูล
บางขุนเทียน,สวนส้มบางมด ผู้ใหญ่ชาติ เที่ยงธรรม,ไม่พบข้อมูล
บางขุนเทียน,สะพานรักษ์ทะเลบางขุนเทียน,06:00-18:00
บางขุนเทียน,ครัวทับทิมซีฟู้ด,เปิดทุกวัน 10:00-21:30
บางขุนเทียน,ธารทะเลซีฟู้ด,เปิดทุกวัน 10:00-22:00
บางขุนเทียน,BANGKOK SEAVIEW SEAFOOD,เปิดทุกวัน 10:00-21:00
บางขุนเทียน,ดอกไม้ ประตู แจกัน,09:00-18:00
บางบอน,สวนสาธารณะเฉลิมพระเกียรติ ฯ 7 รอบ,เปิดทุกวัน 05:00-21:00
บางบอน,Zanook Wake Park Wakeboard,จันทร์-ศุกร์ 11:30-20:30 เสาร์-อาทิตย์ 09:00-20:30
บางบอน,โกดังญี่ปุ่น ปัง,ไม่พบข้อมูล
บางบอน,สวนลุงเข้ม,ไม่พบข้อมูล
บางบอน,วัดโพธิ์พุฒตาล,ไม่พบข้อมูล
บางบอน,วัดร้างบางบอน (วิหารหลวงพ่อขาว),ไม่พบข้อมูล
บางบอน,สวนน้อยรักษา,ไม่พบข้อมูล
บางบอน,ห้องสมุดเพื่อการเรียนรู้บางบอน,อังคาร-เสาร์ 08:30-20:00 อาทิตย์ 09:00-17:00 ปิดวันจันทร์
บางบอน,The Rich Plaza (เดอะ ริช พลาซ่า),ไม่พบข้อมูล
บางบอน,ตลาดสุขสวัสดี,ไม่พบข้อมูล
บางบอน,ตลาดนัดมิดไนท์ บางบอน 5,ไม่พบข้อมูล
บางบอน,ตลาดกลางสินค้าสัตว์น้ำบางบอน,ไม่พบข้อมูล
บางบอน,Rose and love garden,ไม่พบข้อมูล
บางบอน,ตลาดวันโอวันมาร์เก็ต,เปิดทุกวัน 11:00-23:00
บางบอน,สวนลำไยลุงมานพ,ไม่พบข้อมูล
บางแค,ไร่เหมือนจันทร์,เปิดทุกวัน 09:00-17:00
บางแค,วัดม่วง บางแค,ไม่พบข้อมูล
บางแค,ศาลเจ้าแม่ทับทิมหลักสอง (บางแค),เปิดทุกวัน 07:00-18:00
บางแค,ตลาดบางแค,ไม่พบข้อมูล
บางแค,วัดราษฏร์บำรุง,ไม่พบข้อมูล
บางแค,วัดพรหมสุวรรณสามัคคี,ไม่พบข้อมูล
บางแค,ห้างสรรพสินค้าเดอะมอลล์บางแค,เปิดทุกวัน 11:00-21:00
บางแค,สวนเพชรกาญจนารมย์,เปิดทุกวัน 05:00-21:00
บางแค,สวนบางแคภิรมย์,เปิดทุกวัน 05:00-21:00
บางแค,สวนสาธารณะกัลปพฤกษ์,ไม่พบข้อมูล
บางแค,The Explace Mall,เปิดทุกวัน 10:30-21:00
บางแค,วัดศาลาแดง,ไม่พบข้อมูล
บางแค,วัดบุณยประดิษฐ์,ไม่พบข้อมูล
บางแค,พิพิธภัณฑ์เทพศรียันตราเทวาลัย,เปิดทุกวัน 08:00-19:00
บางนา,วัดบางนาใน,ไม่พบข้อมูล
บางนา,วัดบางนานอก,ไม่พบข้อมูล
บางนา,วัดศรีเอี่ยม,05:00-20:00
บางนา,ศูนย์นิทรรศการและการประชุมไบเทค,ไม่พบข้อมูล
บางนา,พิพิธภัณฑ์ การเรียนรู้อุตุนิยมวิทยา,จันทร์-ศุกร์ 10:00-16:00 ปิดเสาร์-อาทิตย์
บางนา,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตบางนา,พุธ-อาทิตย์ 08:30-16:30
บางนา,สวนน้ำ Pororo Aquapark BKK,เปิดทุกวัน 10:30-19:00
บางนา,ลิตเติ้ลวอล์ค บางนา,เปิดทุกวัน 08:00-20:00
บางนา,ตลาดนัด AD Bearing Market,ไม่พบข้อมูล
บางนา,เซ็นทรัลพลาซา บางนา,เปิดทุกวัน 10:00-22:00
บางนา,สนามกอล์ฟราชนาวี บางนา,ไม่พบข้อมูล
บางนา,สนามไดร์ฟกอล์ฟ วันโอวัน,ไม่พบข้อมูล
บางนา,วัดผ่องพลอยวิริยาราม,ไม่พบข้อมูล
บางนา,สวนบางนาภิรมย์,เปิดทุกวัน 06:00-18:00
บางนา,สระว่ายน้ำภูติอนันต์ 2,เปิดทุกวัน 06:30-20:30
บางซื่อ,วัดสร้อยทอง,ไม่พบข้อมูล
บางซื่อ,วัดทองสุทธาราม (วัดทอง),เปิดทุกวัน 08:00-17:00
บางซื่อ,วัดประชาศรัทธาธรรม (วัดเสาหิน),08:00-17:00
บางซื่อ,วัดเลียบราษฎร์บำรุง,ไม่พบข้อมูล
บางซื่อ,วัดมัชฌันติการาม (วัดน้อย),ไม่พบข้อมูล
บางซื่อ,วัดบางโพโอมาวาส,ไม่พบข้อมูล
บางซื่อ,วัดอนัมนิกายาราม วัดญวนบางโพ กว๋างเพื้อกตื่อ,เปิดทุกวัน 08:00-17:00
บางซื่อ,วัดประดู่ธรรมาธิปัตย์,ไม่พบข้อมูล
บางซื่อ,วัดเวตวันธรรมวาส (วัดเชิงหวาย),ไม่พบข้อมูล
บางซื่อ,ถนนสายไม้ บางโพ ชุมชนประชานฤมิตร,ไม่พบข้อมูล
บางซื่อ,บ้านเปรมใจ – ศูนย์ซ่อม – สร้างเครื่องดนตรีไทย,ไม่พบข้อมูล
บางซื่อ,พิพิธภัณฑ์บ้านนักเขียน ส.บุญเสนอ,ต้องนัดหมายล่วงหน้า
บางซื่อ,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตบางซื่อ,พุธ-อาทิตย์ 10:00-16:00
บางซื่อ,หัวโขน ชุมชนสะพานไม้,ไม่พบข้อมูล
บางซื่อ,ตลาดสดมณีพิมาน – ตลาดเตาปูน,เปิดทุกวัน 05:00-19:00
จตุจักร,ตลาดนัดจตุจักร,เสาร์-อาทิตย์ 09:00-18:00
จตุจักร,ตลาดบองมาเช่,ไม่พบข้อมูล
จตุจักร,ตลาด อ.ต.ก.,เปิดทุกวัน 06:00-18:00
จตุจักร,ตลาดลุงเพิ่ม – ตลาดหลังการบินไทย,จันทร์-เสาร์ 08:00-17:00 ปิดวันอาทิตย์
จตุจักร,ศูนย์การค้ามิกซ์ จตุจักร,จันทร์-พฤหัส 10:00-20:00 ศุกร์-อาทิตย์ 10:00-22:00
จตุจักร,ศูนย์หัตถกรรมทองลงหิน,ไม่พบข้อมูล
จตุจักร,วัดเสมียนนารี,05:00-20:00
จตุจักร,วัดเทวสุนทร (วัดสุนทริการาม),06:00-18:00
จตุจักร,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,เปิดทุกวัน 05:00-21:00
จตุจักร,สวนวชิรเบญจทัศ (สวนรถไฟ),เปิดทุกวัน 04:30-21:00
จตุจักร,อุทยานผีเสื้อและแมลงกรุงเทพฯ,อังคาร-อาทิตย์ 08:30-16:30 ปิดวันจันทร์
จตุจักร,หอจดหมายเหตุพุทธทาส อินทปัญโญ (สวนโมกข์ กรุงเทพฯ),เปิดทุกวัน 09:00-19:00
จตุจักร,พิพิธภัณฑ์เด็กกรุงเทพมหานคร แห่งที่ 1 (จตุจักร),อังคาร-อาทิตย์ 10:00-16:00 ปิดวันจันทร์
จตุจักร,เบียร์หิมะ (สาขาประชาชื่น),เปิดทุกวัน 11:00-23:00
จตุจักร,ครัวสา รสจัด,เปิดทุกวัน 11:00-22:00
จอมทอง,วัดราชโอรสารามราชวรวิหาร,ไม่พบข้อมูล
จอมทอง,วัดนางนองวรวิหาร,ไม่พบข้อมูล
จอมทอง,วัดหนังราชวรวิหาร,06:00-18:00
จอมทอง,พิพิธภัณฑ์เพื่อการศึกษา วัดหนังราชวรวิหาร,เสาร์-อาทิตย์ ต้องติดต่อล่วงหน้า
จอมทอง,ตลาดอินดี้ดาวคะนอง,เปิดทุกวัน 17:00-24:00
จอมทอง,วัดไทร,ไม่พบข้อมูล
จอมทอง,ตลาดน้ำวัดไทร,เสาร์-อาทิตย์ 08:00-14:00
จอมทอง,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร,พุธ-อาทิตย์ 09:00-16:30
จอมทอง,วัดบางขุนเทียนกลาง,เปิดทุกวัน 08:00-17:00
จอมทอง,วัดสิงห์ จอมทอง,ไม่พบข้อมูล
จอมทอง,วัดยายร่ม,06:00-18:00
จอมทอง,วัดบางขุนเทียนใน,ไม่พบข้อมูล
จอมทอง,วัดศาลาครืน,เปิดทุกวัน 08:00-16:00
จอมทอง,วัดสีสุก,ไม่พบข้อมูล
จอมทอง,วัดบางขุนเทียนนอก,ไม่พบข้อมูล
ดอนเมือง,สวนรมณีย์ทุ่งสีกัน,เปิดทุกวัน 05:00-20:00
ดอนเมือง,เรือนรัตนโกสินทร์,ไม่พบข้อมูล
ดอนเมือง,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตดอนเมือง,อังคาร-อาทิตย์ 08:00-15:30 ปิดวันจันทร์
ดอนเมือง,พิพิธภัณฑ์กองทัพอากาศ,อังคาร-อาทิตย์ 09:00-15:30 ปิดวันจันทร์
ดอนเมือง,ตลาดเจ้เล้ง,เปิดทุกวัน 09:30-20:00
ดอนเมือง,ตลาดนัดบุญอนันต์,เปิดทุกวัน 14:00-21:00
ดอนเมือง,ตลาดใหม่ดอนเมือง,ไม่พบข้อมูล
ดอนเมือง,สนามกอล์ฟกานตรัตน์ (สนามงู),ไม่พบข้อมูล
ดอนเมือง,วัดดอนเมือง,เปิดทุกวัน 04:00-22:00
ดอนเมือง,วัดสีกัน - พุทธสยาม,เปิดทุกวัน 07:00-21:00
ดอนเมือง,วัดเวฬุวนาราม (ไผ่เขียว),เฉพาะวันพระและเสาร์-อาทิตย์ 08:00-18:00
ดอนเมือง,สนามบินดอนเมือง,เปิดทุกวัน 24 ชั่วโมง
ดอนเมือง,วัดพรหมรังษี ดอนเมือง,09:00-17:00
ดอนเมือง,วัดเทพนิมิตต์ ดอนเมือง,06:00-17:00
ดอนเมือง,วัดมารีย์สวรรค์ ดอนเมือง (โบสถ์มารีย์สวรรค์),ไม่พบข้อมูล
คลองสาน,วัดอนงคาราม,ไม่พบข้อมูล
คลองสาน,วัดเศวตฉัตรวรวิหาร,เปิดทุกวัน 08:00-17:00
คลองสาน,อุทยานเฉลิมพระเกียรติสมเด็จพระศรีนครินทราบรมราชชนนี,เปิดทุกวัน 06:00-18:00 อาคารพิพิธภัณฑ์ 08:30-16:30
คลองสาน,เดอะล้ง 1919 ริเวอร์ไซด์ เฮอริเทจ เดสติเนชั่น,ไม่พบข้อมูล
คลองสาน,พิพิธภัณฑ์โรงพยาบาลสมเด็จเจ้าพระยา,ไม่พบข้อมูล
คลองสาน,ศาลเจ้าซำไนเก็ง,เปิดทุกวัน 07:00-18:00
คลองสาน,ศาลเจ้ากวนอู คลองสาน,เปิดทุกวัน 07:30-17:30
คลองสาน,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตคลองสาน,พุธ-อาทิตย์ 08:30-16:30
คลองสาน,มัสยิดกูวติลอิสลาม (สุเหร่าตึกแดง),ไม่พบข้อมูล
คลองสาน,สวนป่าเฉลิมพระเกียรติใต้สะพานสมเด็จพระเจ้าตากสิน,เปิดทุกวัน 05:00-21:00
คลองสาน,ไอคอนสยาม (ICONSIAM),เปิดทุกวัน 10:00-22:00
คลองสาน,วัดทองนพคุณ,เปิดทุกวัน 06:00-18:00
คลองสาน,วัดพิชยญาติการาม (วัดพิชัยญาติ),ไม่พบข้อมูล
คลองสาน,วัดจีจินเกาะ,เปิดทุกวัน 08:00-16:30
คลองเตย,ศูนย์วิทยาศาสตร์เพื่อการศึกษาแห่งชาติ (ท้องฟ้าจำลองกรุงเทพฯ),อังคาร-อาทิตย์ 09:00-16:00 ปิดวันจันทร์
คลองเตย,ตลาดคลองเตย,ไม่พบข้อมูล
คลองเตย,วัดสะพาน,ไม่พบข้อมูล
คลองเตย,ตำหนักบ้านปลายเนิน,เปิดให้เข้าชมเฉพาะวันที่ 29 เมษายนของทุกปี (วันนริศ) 09:00-17:00
คลองเตย,สวนเบญจกิติ,เปิดทุกวัน 04:30-22:00
คลองเตย,อุทยานเบญจสิริ,เปิดทุกวัน 05:00-21:00
คลองเตย,The Emporium,จันทร์-พฤหัสบดี 11:00-21:00 ศุกร์-อาทิตย์ 10:00-21:00
คลองเตย,Flow House Bangkok,ไม่พบข้อมูล
คลองเตย,Gateway Ekamai,เปิดทุกวัน 10:00-22:00
คลองเตย,วัดคลองเตยนอก,ไม่พบข้อมูล
คลองเตย,วัดคลองเตยใน,ไม่พบข้อมูล
คลองเตย,Suanplern Market - สวนเพลิน มาร์เก็ต,เปิดทุกวัน 10:00-22:00
คลองเตย,ในป่า อาร์ท คอมเพลกส์ (Naiipa Art Complex),ไม่พบข้อมูล
คลองเตย,Puzzle Room Bangkok,เปิดทุกวัน 11:00-22:00
คลองเตย,สีลมซาวน่า สุขุมวิท22,ไม่พบข้อมูล
ลาดกระบัง,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตลาดกระบัง,พุธ-อาทิตย์ 09:00-17:00
ลาดกระบัง,พิพิธภัณฑ์งูสยามเซอร์เพนทาเรียม Siam Serpentarium,จันทร์-ศุกร์ 10:00-17:00 เสาร์-อาทิตย์ 10:00-18:00
ลาดกระบัง,วัดสุทธาโภชน์,ไม่พบข้อมูล
ลาดกระบัง,ห้องสมุดสีเขียว Green Library,ไม่พบข้อมูล
ลาดกระบัง,ตลาดหัวตะเข้,เปิดทุกวัน 08:00-18:00
ลาดกระบัง,วัดลานบุญ (วัดหนึ่ง),ศุกร์-อาทิตย์ 08:30-17:00
ลาดกระบัง,ตลาดหลวงแพ่ง,เสาร์-อาทิตย์ 10:00-16:00
ลาดกระบัง,สวนพระนคร กรุงเทพมหานคร,เปิดทุกวัน 05:00-21:00
ลาดกระบัง,ตลาดนัดสุวรรณภูมิ,เปิดทุกวัน 16:00-21:00
ลาดกระบัง,The Paseo Mall,เปิดทุกวัน 10:00-22:00
ลาดกระบัง,หอสมุดแห่งชาติเขตลาดกระบัง เฉลิมพระเกียรติ,ไม่พบข้อมูล
สัมพันธวงศ์,วัดไตรมิตรวิทยารามวรวิหาร,08:00-17:00
สัมพันธวงศ์,วัดสัมพันธวงศารามวรวิหาร,ไม่พบข้อมูล
สัมพันธวงศ์,ธนาคารไทยพาณิชย์ สาขาตลาดน้อย,ไม่พบข้อมูล
สัมพันธวงศ์,วัดแม่พระลูกประคำ (กาลหว่าร์),ไม่พบข้อมูล
สัมพันธวงศ์,ศาลเจ้าเล่าปุนเถ้ากง,เปิดทุกวัน 07:00-17:00
สัมพันธวงศ์,ศาลเจ้าเล่งบ๊วยเอี๊ยะ,ไม่พบข้อมูล
สัมพันธวงศ์,ตลาดน้อย Street Art,ไม่พบข้อมูล
สัมพันธวงศ์,พิพิธภัณฑ์ท้องถิ่นเขตสัมพันธวงศ์,จันทร์-ศุกร์ 08:00-16:00
สัมพันธวงศ์,ร้านซุ้ยล้ง ถังไม้สักโบราณ,จันทร์-เสาร์ 08:00-17:00
สัมพันธวงศ์,ซุ้มประตูเฉลิมพระเกียรติ (Royal Jubilee Gate),ไม่พบข้อมูล
สัมพันธวงศ์,มัสยิดหลวงโกชาอิศหาก,ไม่พบข้อมูล
สัมพันธวงศ์,Loftel 22 Hostel,เช็คอิน 14:00 เช็คเอาท์ 12:00
สัมพันธวงศ์,Dhammachard 1608 (บ้านธรรมชาติ),ไม่พบข้อมูล
สัมพันธวงศ์,เป็ดตุ๋นเจ้าท่า,จันทร์-เสาร์ 09:00-16:00 ปิดวันอาทิตย์
สัมพันธวงศ์,ก๋วยเตี๋ยวรู ตลาดน้อย,เปิดทุกวัน 07:30-16:00 ปิดวันพุธสุดท้ายของเดือน
ตลิ่งชัน,ตลาดน้ำตลิ่งชัน,เสาร์-อาทิตย์ 08:00-16:30
ตลิ่งชัน,วัดจำปา,เปิดทุกวันตลอด 24 ชั่วโมง
ตลิ่งชัน,ชุมชนเกาะศาลเจ้า,ไม่พบข้อมูล
ตลิ่งชัน,ตลาดน้ำวัดจำปา,เสาร์-อาทิตย์ 09:00-15:00
ตลิ่งชัน,ตลาดน้ำคลองลัดมะยม,เสาร์-อาทิตย์ 08:00-17:00
ตลิ่งชัน,วัดเกาะ บางเชือกหนัง,ไม่พบข้อมูล
ตลิ่งชัน,วัดกาญจนสิงหาสน์วรวิหาร (วัดทอง),ไม่พบข้อมูล
ตลิ่งชัน,วัดศีลมหาสนิท,ไม่พบข้อมูล
ตลิ่งชัน,ศูนย์มานุษยวิทยาสิรินธร,จันทร์-ศุกร์ 08:30-16:30 เสาร์ 09:00-16:00 ปิดวันอาทิตย์
ตลิ่งชัน,พิพิธภัณฑ์คนโบราณ บ้านบางระมาด,ไม่พบข้อมูล
ตลิ่งชัน,บ้านจักรยาน,เปิดทุกวัน 08:00-21:00
ตลิ่งชัน,สวนกล้วยไม้ลุงนิยม,ไม่พบข้อมูล
ตลิ่งชัน,ศาลเจ้าเง็กฮกตึ้ง (เจ้าพ่อเห้งเจีย),ไม่พบข้อมูล
ตลิ่งชัน,สวนมณฑลภิรมย์,ไม่พบข้อมูล
ตลิ่งชัน,เดอะ เซอร์เคิล ราชพฤกษ์,ไม่พบข้อมูล
